Program;Threads;Test;Temps
Producer_Consumer_AC;8;2;0.10
Producer_Consumer_AC;8;3;0.10
Producer_Consumer_AC;8;4;0.10
Producer_Consumer_AC;8;5;0.07
Producer_Consumer_AC;16;1;0.23
Producer_Consumer_AC;16;2;0.21
Producer_Consumer_AC;16;3;0.16
Producer_Consumer_AC;16;4;0.18
Producer_Consumer_AC;16;5;0.16
Producer_Consumer_AC;32;1;1.64
Producer_Consumer_AC;32;2;1.51
Producer_Consumer_AC;32;3;1.29
Producer_Consumer_AC;32;4;1.45
Producer_Consumer_AC;32;5;1.27
Producer_Consumer_AC;64;1;9.33
Producer_Consumer_AC;64;2;10.49
Producer_Consumer_AC;64;3;9.27
Producer_Consumer_AC;64;4;9.76
Producer_Consumer_AC;64;5;9.64
WriterReader;1;1;0.12
WriterReader;1;2;0.12
WriterReader;1;3;0.14
WriterReader;1;4;0.23
WriterReader;1;5;0.23
WriterReader;2;1;0.23
WriterReader;2;2;0.23
WriterReader;2;3;0.23
WriterReader;2;4;0.23
WriterReader;2;5;0.23
WriterReader;4;1;0.23
WriterReader;4;2;0.23
WriterReader;4;3;0.16
WriterReader;4;4;0.23
WriterReader;4;5;0.23
WriterReader;8;1;0.23
WriterReader;8;2;0.23
WriterReader;8;3;0.23
WriterReader;8;4;0.23
WriterReader;8;5;0.23
WriterReader;16;1;0.23
WriterReader;16;2;0.23
WriterReader;16;3;0.23
WriterReader;16;4;0.23
WriterReader;16;5;0.23
WriterReader;32;1;0.23
WriterReader;32;2;0.23
WriterReader;32;3;0.23
WriterReader;32;4;0.23
WriterReader;32;5;0.24
WriterReader;64;1;0.23
WriterReader;64;2;0.23
WriterReader;64;3;0.23
WriterReader;64;4;0.23
WriterReader;64;5;0.24
WriterReader_AC;1;1;0.17
WriterReader_AC;1;2;0.17
WriterReader_AC;1;3;0.17
WriterReader_AC;1;4;0.17
WriterReader_AC;1;5;0.17
WriterReader_AC;2;1;0.21
WriterReader_AC;2;2;0.22
WriterReader_AC;2;3;0.22
WriterReader_AC;2;4;0.21
WriterReader_AC;2;5;0.22
WriterReader_AC;4;1;0.25
WriterReader_AC;4;2;0.22
WriterReader_AC;4;3;0.16
WriterReader_AC;4;4;0.14
WriterReader_AC;4;5;0.13
WriterReader_AC;8;1;0.24
WriterReader_AC;8;2;0.18
WriterReader_AC;8;3;0.22
WriterReader_AC;8;4;0.17
WriterReader_AC;8;5;0.13
WriterReader_AC;16;1;0.27
WriterReader_AC;16;2;0.23
WriterReader_AC;16;3;0.18
WriterReader_AC;16;4;0.19
WriterReader_AC;16;5;0.20
WriterReader_AC;32;1;0.72
WriterReader_AC;32;2;0.83
WriterReader_AC;32;3;0.54
WriterReader_AC;32;4;0.73
WriterReader_AC;32;5;0.56
WriterReader_AC;64;1;1.59
WriterReader_AC;64;2;2.29
WriterReader_AC;64;3;2.39
WriterReader_AC;64;4;2.79
WriterReader_AC;64;5;2.86
Test-and-set;1;1;0.42
Test-and-set;1;2;0.19
Test-and-set;1;3;0.37
Test-and-set;1;4;0.42
Test-and-set;1;5;0.19
Test-and-set;2;1;0.30
Test-and-set;2;2;0.28
Test-and-set;2;3;0.31
Test-and-set;2;4;0.30
Test-and-set;2;5;0.31
Test-and-set;4;1;0.37
Test-and-set;4;2;0.38
Test-and-set;4;3;0.37
Test-and-set;4;4;0.38
Test-and-set;4;5;0.37
Test-and-set;8;1;0.38
Test-and-set;8;2;0.36
Test-and-set;8;3;0.33
Test-and-set;8;4;0.33
Test-and-set;8;5;0.34
Test-and-set;16;1;0.38
Test-and-set;16;2;0.31
Test-and-set;16;3;0.35
Test-and-set;16;4;0.33
Test-and-set;16;5;0.36
Test-and-set;32;1;0.34
Test-and-set;32;2;0.20
Test-and-set;32;3;0.26
Test-and-set;32;4;0.31
Test-and-set;32;5;0.32
Test-and-set;64;1;0.40
Test-and-set;64;2;0.24
Test-and-set;64;3;0.26
Test-and-set;64;4;0.27
Test-and-set;64;5;0.31
Test-and-test-and-set;1;1;0.17
Test-and-test-and-set;1;2;0.17
Test-and-test-and-set;1;3;0.40
Test-and-test-and-set;1;4;0.17
Test-and-test-and-set;1;5;0.17
Test-and-test-and-set;2;1;0.30
Test-and-test-and-set;2;2;0.33
Test-and-test-and-set;2;3;0.42
Test-and-test-and-set;2;4;0.29
Test-and-test-and-set;2;5;0.26
Test-and-test-and-set;4;1;0.41
Test-and-test-and-set;4;2;0.37
Test-and-test-and-set;4;3;0.41
Test-and-test-and-set;4;4;0.37
Test-and-test-and-set;4;5;0.36
Test-and-test-and-set;8;1;0.35
Test-and-test-and-set;8;2;0.36
Test-and-test-and-set;8;3;0.34
Test-and-test-and-set;8;4;0.38
Test-and-test-and-set;8;5;0.35
Test-and-test-and-set;16;1;0.40
Test-and-test-and-set;16;2;0.36
Test-and-test-and-set;16;3;0.28
Test-and-test-and-set;16;4;0.40
Test-and-test-and-set;16;5;0.29
Test-and-test-and-set;32;1;0.32
Test-and-test-and-set;32;2;0.36
Test-and-test-and-set;32;3;0.20
Test-and-test-and-set;32;4;0.28
Test-and-test-and-set;32;5;0.32
Test-and-test-and-set;64;1;0.44
Test-and-test-and-set;64;2;0.23
Test-and-test-and-set;64;3;0.25
Test-and-test-and-set;64;4;0.31
Test-and-test-and-set;64;5;0.30
